price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
10980,2012,ford,,6 cylinders,gas,159559,,manual,rwd,coupe,silver
3500,1998,jeep,,6 cylinders,gas,273000,clean,automatic,4wd,SUV,white
8950,2011,ford,excellent,6 cylinders,gas,164000,clean,automatic,fwd,truck,white
4000,1972,mercedes-benz,fair,6 cylinders,gas,88100,clean,automatic,rwd,coupe,silver
50000,2019,toyota,like new,8 cylinders,gas,20010,clean,automatic,4wd,truck,white
3500,2009,hyundai,,4 cylinders,gas,111387,rebuilt,automatic,fwd,sedan,white
7480,2012,chrysler,,6 cylinders,gas,187910,,automatic,rwd,sedan,blue
1200,2005,chevrolet,fair,4 cylinders,gas,256806,clean,automatic,fwd,sedan,blue
8888,2005,nissan,excellent,6 cylinders,gas,53320,clean,automatic,fwd,sedan,brown
26990,2016,toyota,,6 cylinders,gas,102089,clean,automatic,rwd,pickup,grey
500,2021,,fair,other,other,1400,clean,other,,bus,green
98900,2001,ferrari,good,8 cylinders,gas,20187,clean,automatic,rwd,convertible,red
15277,2017,mini,,,gas,94893,clean,manual,fwd,,silver
17977,2012,toyota,,,gas,182263,clean,automatic,4wd,,black
12250,2007,toyota,,,gas,189000,clean,automatic,,,
35495,,,,4 cylinders,gas,14000,clean,automatic,rwd,sedan,white
16500,2011,ford,excellent,8 cylinders,gas,201766,clean,automatic,4wd,truck,white
5800,2001,ford,,,gas,105000,clean,automatic,,,
3999,2006,pontiac,,6 cylinders,gas,207238,clean,automatic,fwd,sedan,white
6000,2011,acura,good,6 cylinders,gas,197331,clean,automatic,,SUV,black
9400,2008,mercedes-benz,good,6 cylinders,gas,129473,clean,automatic,rwd,sedan,silver
3850,2003,dodge,,8 cylinders,gas,215604,clean,automatic,rwd,SUV,blue
7900,2013,nissan,good,6 cylinders,gas,152400,clean,automatic,fwd,SUV,white
4300,2012,kia,,4 cylinders,gas,174053,clean,automatic,fwd,wagon,silver
2800,2006,ford,,6 cylinders,gas,230108,clean,automatic,fwd,sedan,white
27995,2012,ford,,,gas,47380,clean,automatic,,,white
3900,2010,chevrolet,,4 cylinders,gas,162218,clean,automatic,fwd,sedan,silver
0,2017,chevrolet,like new,8 cylinders,diesel,102000,clean,automatic,4wd,truck,silver
0,2016,ram,like new,6 cylinders,diesel,120000,clean,automatic,4wd,truck,black
7300,2007,lexus,good,6 cylinders,gas,181000,clean,automatic,fwd,SUV,white
72900,2021,chevrolet,good,8 cylinders,gas,19129,clean,automatic,4wd,SUV,grey
28900,2017,audi,good,6 cylinders,gas,94601,clean,automatic,4wd,SUV,white
17000,2019,chevrolet,good,4 cylinders,gas,14898,clean,automatic,4wd,SUV,grey
3350,2010,chevrolet,,4 cylinders,,177602,clean,automatic,rwd,SUV,red
199,2017,dodge,,,gas,21737,clean,automatic,,,
5950,2007,mitsubishi,good,4 cylinders,gas,72000,clean,manual,fwd,hatchback,black
24590,2017,chevrolet,good,6 cylinders,gas,40784,clean,other,,pickup,white
3999,2006,honda,,4 cylinders,gas,253076,clean,automatic,fwd,sedan,silver
8900,2013,toyota,excellent,4 cylinders,hybrid,142900,clean,automatic,fwd,wagon,blue
9900,2016,,excellent,4 cylinders,gas,21000,clean,automatic,fwd,sedan,blue
